Cell id,Area,Perimeter,Convex hull area,Convex hull perimeter,Major axis vector,Major axis angle (rad),Major axis length,Minor axis length,Centroids,Fibre length
1,6506,418,7526,402,"(13 , 118)",1.4610693379108204,118.0,74.0,"(817.0 , 58.0)",38.060177604090484
2,3325,292,3751,278,"(38 , 72)",1.085174233497428,81.0,57.0,"(117.0 , 46.0)",28.233941428801216
3,857,134,955,134,"(25 , 29)",0.8593372010553886,38.0,34.0,"(975.0 , 31.0)",17.21350252509767
4,7276,584,10195,554,"(114 , 141)",0.890887471922539,181.0,61.0,"(1774.0 , 100.0)",27.509494051211007
5,3531,366,4707,354,"(88 , 76)",0.712357598094329,116.0,52.0,"(1978.0 , 74.0)",21.920908312913426
6,5581,360,6081,354,"(93 , 22)",0.23228898897102182,95.0,85.0,"(1439.0 , 90.0)",39.81035963468158
7,7053,526,9455,434,"(109 , 80)",0.6331464492953446,135.0,92.0,"(2005.0 , 124.0)",30.31082073660248
8,4713,386,5873,342,"(63 , 76)",0.8786520785022282,98.0,86.0,"(1673.0 , 159.0)",28.68222946749134
9,6147,430,7446,392,"(95 , -64)",-0.5928451807056141,114.0,80.0,"(747.0 , 171.0)",33.95239636806649
10,2278,216,2437,216,"(54 , 37)",0.6007137833109938,65.0,50.0,"(876.0 , 159.0)",28.74133811936982
11,5975,467,7343,434,"(83 , 108)",0.9155483280973218,136.0,71.0,"(1732.0 , 205.0)",29.253928659624947
12,8932,558,10849,524,"(34 , -139)",-1.3309023656100012,143.0,123.0,"(1525.0 , 203.0)",36.892739048349995
13,1874,218,2234,214,"(54 , 27)",0.4636476090008061,60.0,56.0,"(266.0 , 202.0)",21.39033373771339
14,3082,272,3502,272,"(44 , 73)",1.0283647568049468,85.0,52.0,"(670.0 , 216.0)",28.73169216785628
15,5865,386,6783,382,"(25 , -103)",-1.3326825443848853,105.0,87.0,"(1647.0 , 236.0)",37.78671359904983
16,219,60,229,60,"(14 , -12)",-0.7086262721276703,18.0,17.0,"(203.0 , 213.0)",12.550510257216821
17,2851,270,3272,248,"(57 , 49)",0.7100692725691082,75.0,59.0,"(1452.0 , 235.0)",26.20532722008806
18,2813,256,3138,256,"(76 , -8)",-0.10487693873023389,76.0,51.0,"(720.0 , 240.0)",28.181010622855368
19,11027,684,13984,612,"(52 , 171)",1.2755882101496516,178.0,96.0,"(1912.0 , 303.0)",36.04074689003352
20,3302,266,3614,266,"(25 , 72)",1.2365982825293935,76.0,64.0,"(1786.0 , 255.0)",33.02986405764088
21,3433,304,4066,288,"(24 , 79)",1.2758592679460896,82.0,65.0,"(1838.0 , 264.0)",27.59545475887621
22,7565,475,8864,450,"(106 , 95)",0.7307263319782982,142.0,86.0,"(2001.0 , 298.0)",37.90098949275878
23,4594,380,5617,328,"(59 , -87)",-0.9748783212785956,105.0,79.0,"(1718.0 , 285.0)",28.434243037429525
24,3710,296,4206,296,"(78 , 17)",0.21459288149122355,79.0,72.0,"(1496.0 , 289.0)",31.97619722109861
25,6378,574,9955,482,"(45 , 137)",1.2534317091870464,144.0,107.0,"(1743.0 , 338.0)",24.276470443121
26,4237,414,5656,394,"(118 , 65)",0.5034936173402124,134.0,47.0,"(1186.0 , 311.0)",23.03106189342374
27,7816,622,10654,486,"(109 , 114)",0.8078159319087834,157.0,94.0,"(1810.0 , 352.0)",27.577171701060337
28,1908,246,2221,244,"(27 , 83)",1.2562920223781515,87.0,36.0,"(332.0 , 352.0)",18.207390931014565
