Cell id,Area,Perimeter,Convex hull area,Convex hull perimeter,Major axis vector,Major axis angle (rad),Major axis length,Minor axis length,Centroids,Fibre length
1,800,120,835,120,"(32 , -20)",-0.5585993153435624,37.0,29.0,"(1856.0 , 14.0)",20.0
2,1990,200,2056,200,"(36 , -54)",-0.982793723247329,64.0,46.0,"(398.0 , 26.0)",27.41682041872757
3,2312,218,2398,218,"(36 , 55)",0.9912323415015735,65.0,47.0,"(274.0 , 29.0)",28.843616778665
4,1507,192,1644,192,"(41 , -46)",-0.842806278034248,61.0,32.0,"(647.0 , 23.0)",19.768811573013792
5,1326,174,1476,174,"(21 , -46)",-1.142532173918242,50.0,44.0,"(1054.0 , 26.0)",19.70399193141841
6,1848,242,2113,240,"(83 , -14)",-0.16710179993110563,84.0,34.0,"(1396.0 , 22.0)",17.92947028753342
7,1023,150,1083,150,"(40 , 30)",0.6435011087932844,50.0,28.0,"(831.0 , 33.0)",17.923228049548108
8,869,130,925,130,"(21 , -34)",-1.017502001472604,39.0,34.0,"(1622.0 , 35.0)",18.81606781659599
9,1848,202,1910,202,"(39 , -54)",-0.9453112865556675,66.0,40.0,"(1303.0 , 49.0)",24.0
10,1363,182,1528,180,"(54 , 30)",0.507098504392337,61.0,36.0,"(1662.0 , 41.0)",18.9058277060556
11,1251,160,1321,160,"(42 , 10)",0.23374318086890142,43.0,38.0,"(1826.0 , 44.0)",21.318458307730594
12,1310,174,1435,174,"(9 , -54)",-1.4056476493802699,54.0,34.0,"(730.0 , 53.0)",19.37014297597269
13,1275,174,1358,174,"(32 , 46)",0.9629943306809362,56.0,32.0,"(1729.0 , 54.0)",18.65548350239031
14,2024,212,2151,212,"(29 , 55)",1.0855693342275603,62.0,42.0,"(859.0 , 62.0)",24.9821485477562
15,927,132,961,132,"(32 , -29)",-0.7362574289814281,43.0,29.0,"(1927.0 , 48.0)",20.272077938642145
16,1965,216,2102,216,"(44 , 54)",0.8870870151605253,69.0,44.0,"(600.0 , 61.0)",23.16171210978145
17,1398,168,1464,168,"(25 , 43)",1.044169055361146,49.0,37.0,"(934.0 , 56.0)",22.868873530291008
18,1141,166,1196,166,"(40 , 39)",0.7727406115633964,55.0,29.0,"(1433.0 , 57.0)",17.390873097517613
19,991,142,1042,142,"(18 , -39)",-1.1383885512243588,42.0,33.0,"(1467.0 , 57.0)",19.091160918578062
20,2035,206,2105,206,"(48 , -43)",-0.7305083008032945,64.0,44.0,"(212.0 , 66.0)",26.65548350239031
21,816,140,865,140,"(20 , 42)",1.1263771168937977,46.0,23.0,"(1763.0 , 65.0)",14.776251583843315
