Cell id,Area,Perimeter,Convex hull area,Convex hull perimeter,Major axis vector,Major axis angle (rad),Major axis length,Minor axis length,Centroids,Fibre length
1,2965,336,3994,308,"(103 , 15)",0.14461443921994038,104.0,40.0,"(280.0 , 31.0)",20.03907442821047
2,664,120,729,120,"(32 , 20)",0.5585993153435624,37.0,25.0,"(729.0 , 20.0)",14.637708504262784
3,1100,155,1153,155,"(40 , -15)",-0.3587706702705722,42.0,32.0,"(1026.0 , 27.0)",18.710975572648252
4,1324,154,1371,154,"(39 , -28)",-0.6226707887570673,48.0,44.0,"(1806.0 , 28.0)",25.920254374590876
5,2294,288,3102,252,"(43 , -59)",-0.940992991374478,73.0,60.0,"(1860.0 , 45.0)",18.24127977713755
6,1388,166,1478,166,"(36 , -37)",-0.7990959367703141,51.0,43.0,"(409.0 , 34.0)",23.217494701217777
7,485,98,541,98,"(14 , 29)",1.1210367137250576,32.0,23.0,"(1276.0 , 25.0)",13.764544723208056
8,1401,180,1546,182,"(48 , -11)",-0.22527677921405528,49.0,43.0,"(137.0 , 35.0)",20.020008006406407
9,1640,202,1890,202,"(12 , 54)",1.3521273809209546,55.0,45.0,"(1315.0 , 39.0)",20.329650316908822
10,2248,247,2695,234,"(41 , -56)",-0.9388220849762935,69.0,59.0,"(1063.0 , 48.0)",22.189129180464192
11,961,131,991,132,"(23 , 32)",0.9475969968608307,39.0,35.0,"(1773.0 , 38.0)",22.187684912861194
12,791,154,928,152,"(48 , -22)",-0.4297622790966885,52.0,20.0,"(246.0 , 51.0)",12.208366349730188
13,641,110,699,110,"(22 , 27)",0.8870870151605253,34.0,25.0,"(73.0 , 55.0)",16.764544723208054
14,2445,297,3319,278,"(20 , 79)",1.3228414819792058,81.0,54.0,"(1120.0 , 83.0)",18.859906120317866
15,974,150,1085,150,"(33 , 27)",0.6857295109062863,42.0,33.0,"(1488.0 , 60.0)",16.70937711370821
16,943,156,1095,156,"(40 , 13)",0.3142318990843383,42.0,34.0,"(1246.0 , 64.0)",14.958369439657385
17,873,138,965,138,"(35 , -23)",-0.5813801838048998,41.0,31.0,"(100.0 , 62.0)",16.688486869443125
18,1843,190,1960,190,"(37 , -40)",-0.8243395064944876,54.0,53.0,"(156.0 , 69.0)",27.171448649743876
