Cell id,Area,Perimeter,Convex hull area,Convex hull perimeter,Major axis vector,Major axis angle (rad),Major axis length,Minor axis length,Centroids,Fibre length
1,5498,392,6405,380,"(17 , 113)",1.4214736661011993,114.0,78.0,"(706.0 , 53.0)",33.92192262559682
2,2125,218,2286,218,"(54 , 40)",0.6375487981386927,67.0,41.0,"(1528.0 , 25.0)",25.426816479786737
3,2426,253,2805,244,"(37 , -70)",-1.0845536937073916,79.0,42.0,"(1626.0 , 37.0)",23.569242698758885
4,1479,213,1791,200,"(60 , -19)",-0.3066763194016827,62.0,40.0,"(1727.0 , 29.0)",16.418457811272688
5,425,112,563,112,"(26 , 29)",0.8398896196381795,38.0,13.0,"(1064.0 , 22.0)",9.052704678503584
6,2221,261,2672,236,"(77 , 19)",0.24192056868440487,79.0,40.0,"(787.0 , 30.0)",20.121710646203304
7,490,96,522,96,"(23 , -14)",-0.5467888408892474,26.0,26.0,"(1209.0 , 27.0)",14.726381504504296
8,1443,168,1518,168,"(25 , -43)",-1.044169055361146,49.0,40.0,"(927.0 , 39.0)",24.083527132831083
9,2280,258,2795,252,"(71 , 27)",0.3633931334952306,75.0,54.0,"(1102.0 , 44.0)",21.13815040845236
10,701,118,755,118,"(27 , 20)",0.6375487981386927,33.0,30.0,"(1160.0 , 37.0)",16.490388168742314
11,1645,190,1790,188,"(25 , 52)",1.122651351719107,57.0,45.0,"(1425.0 , 48.0)",22.77652936984777
12,1594,212,1899,206,"(35 , -59)",-1.035376784858271,68.0,38.0,"(576.0 , 57.0)",18.14314988413325
13,1340,168,1480,168,"(29 , 35)",0.8788749445560378,45.0,39.0,"(525.0 , 51.0)",21.408739718026
14,1436,166,1501,166,"(42 , 24)",0.5191461142465229,48.0,40.0,"(173.0 , 50.0)",24.58107568431137
15,1086,144,1137,144,"(20 , -37)",-1.075244653309068,42.0,33.0,"(1980.0 , 53.0)",21.508623253810562
16,2294,278,2914,256,"(66 , 45)",0.5984188934785372,79.0,41.0,"(770.0 , 70.0)",19.138804621017982
17,2156,240,2488,226,"(59 , 20)",0.3268266529299407,62.0,58.0,"(848.0 , 69.0)",22.0
18,699,122,758,122,"(35 , 9)",0.25168997175818675,36.0,25.0,"(102.0 , 58.0)",15.29309367425445
19,2237,212,2309,212,"(56 , -29)",-0.47783105499211487,63.0,50.0,"(1853.0 , 69.0)",29.083478513797203
20,4613,456,6392,424,"(109 , -84)",-0.6565817580432702,137.0,51.0,"(273.0 , 87.0)",22.44127567511657
21,1836,208,1944,208,"(42 , 49)",0.8621700546672264,64.0,34.0,"(1121.0 , 81.0)",22.53816027468753
22,1919,200,2061,200,"(48 , 27)",0.5123894603107377,55.0,52.0,"(1383.0 , 82.0)",25.8960584136121
23,1522,189,1681,190,"(6 , 48)",1.446441332248135,48.0,48.0,"(1491.0 , 82.0)",20.5936217763928
24,988,176,1125,176,"(22 , -59)",-1.2138843904432262,62.0,21.0,"(682.0 , 95.0)",13.210391363318696
25,2408,272,2905,256,"(88 , 11)",0.12435499454676144,88.0,35.0,"(1636.0 , 84.0)",20.92559081624072
26,4290,434,6024,392,"(76 , 97)",0.9061944541059935,123.0,61.0,"(536.0 , 117.0)",22.0
27,1976,222,2220,220,"(11 , 60)",1.3894765523934063,61.0,51.0,"(654.0 , 104.0)",22.26974270337348
28,1549,190,1713,190,"(49 , 21)",0.4048917862850834,53.0,43.0,"(209.0 , 94.0)",20.9058277060556
29,727,154,947,142,"(10 , -45)",-1.3521273809209546,46.0,27.0,"(1327.0 , 98.0)",11.018187832677409
30,1568,206,1827,206,"(38 , 55)",0.9661977367014197,66.0,35.0,"(606.0 , 107.0)",18.572048347946087
31,1818,192,1953,192,"(51 , -16)",-0.30400093934014455,53.0,47.0,"(487.0 , 99.0)",25.954592314951398
32,6326,463,8024,436,"(82 , 89)",0.8263109931728877,121.0,89.0,"(805.0 , 126.0)",31.65444423157666
33,2367,238,2582,238,"(36 , 73)",1.112643167997307,81.0,41.0,"(867.0 , 124.0)",25.247262883092098
34,516,121,653,122,"(33 , -13)",-0.3752708228559573,35.0,22.0,"(1470.0 , 97.0)",10.273451249027023
35,1267,178,1477,178,"(39 , -35)",-0.73139666302148,52.0,34.0,"(927.0 , 104.0)",17.793259277852716
36,2363,238,2637,238,"(55 , -48)",-0.7175413405411444,73.0,46.0,"(166.0 , 112.0)",25.188923071404474
37,1358,174,1506,174,"(48 , -6)",-0.12435499454676144,48.0,39.0,"(90.0 , 105.0)",20.38615133734756
38,290,82,317,82,"(27 , -14)",-0.4783524313786575,30.0,12.0,"(342.0 , 93.0)",9.087287789486673
39,873,140,964,140,"(43 , 15)",0.33563855032760925,45.0,25.0,"(1889.0 , 104.0)",16.23833696070628
40,1725,206,1987,200,"(20 , -54)",-1.2160906747839564,57.0,47.0,"(990.0 , 118.0)",21.049220042829774
41,1939,207,2119,204,"(40 , -47)",-0.8656849786804648,61.0,52.0,"(1620.0 , 120.0)",24.56429603633557
42,640,168,1286,192,"(38 , -53)",-0.9487643115057242,65.0,22.0,"(1979.0 , 118.0)",8.473890771519578
43,2163,299,2893,284,"(26 , -90)",-1.2895641248766014,93.0,38.0,"(748.0 , 143.0)",16.23023838052653
44,812,176,1478,180,"(56 , -30)",-0.49180917598869855,63.0,24.0,"(1277.0 , 113.0)",10.473890771519578
45,1773,194,1899,190,"(32 , -55)",-1.043853099605467,63.0,44.0,"(1361.0 , 124.0)",24.43238690688252
46,2101,256,2571,232,"(11 , -68)",-1.410420882818946,68.0,37.0,"(1408.0 , 134.0)",19.334577131745412
47,1439,175,1547,176,"(43 , 26)",0.5438324563021223,50.0,44.0,"(1460.0 , 122.0)",21.954071481122902
48,834,134,922,134,"(12 , 41)",1.2860658882721845,42.0,27.0,"(1558.0 , 123.0)",16.522073153650354
49,643,129,769,128,"(40 , 8)",0.19739555984988078,40.0,23.0,"(712.0 , 125.0)",12.323572824010824
50,350,94,411,94,"(10 , 30)",1.2490457723982544,31.0,16.0,"(354.0 , 129.0)",9.278537346672108
51,275,70,288,70,"(19 , 11)",0.5247957716501074,21.0,18.0,"(1211.0 , 125.0)",11.909830056250525
52,1668,189,1839,190,"(48 , -36)",-0.6435011087932844,60.0,43.0,"(1871.0 , 143.0)",23.489476015878775
53,639,130,783,130,"(33 , 22)",0.5880026035475675,39.0,22.0,"(1745.0 , 137.0)",12.073301784184505
54,293,88,337,88,"(21 , -22)",-0.8086497862079113,30.0,11.0,"(1424.0 , 133.0)",8.179725038914746
55,2371,271,3041,252,"(80 , -23)",-0.27994982252379114,83.0,48.0,"(271.0 , 152.0)",20.643073757673385
56,1901,254,2419,232,"(54 , 44)",0.6837093116343712,69.0,43.0,"(930.0 , 156.0)",17.33453671845153
57,1288,226,1845,206,"(13 , 61)",1.3608228139327332,62.0,28.0,"(1897.0 , 161.0)",12.862286952682773
58,4354,372,5478,346,"(88 , 72)",0.6857295109062863,113.0,67.0,"(544.0 , 173.0)",27.46375048875622
59,1803,228,2262,226,"(64 , -28)",-0.4124104415973873,69.0,45.0,"(1845.0 , 160.0)",18.973693316336913
60,1191,154,1275,154,"(24 , 39)",1.0191413442663497,45.0,38.0,"(480.0 , 159.0)",21.433951834123988
61,2880,290,3452,274,"(62 , 51)",0.6883587774154488,80.0,60.0,"(612.0 , 174.0)",23.75320523357459
62,1035,150,1074,150,"(54 , 19)",0.3383236225092596,57.0,22.0,"(680.0 , 152.0)",18.232151132002308
63,1943,224,2292,218,"(22 , 62)",1.2298173732985473,65.0,49.0,"(714.0 , 176.0)",21.460167921658915
64,1277,154,1325,154,"(40 , -21)",-0.483447001567199,45.0,37.0,"(1653.0 , 164.0)",24.173451218105598
65,4533,404,5793,392,"(118 , -37)",-0.30384965341089026,123.0,60.0,"(1195.0 , 185.0)",25.71387910112516
66,2568,304,3102,286,"(103 , -17)",-0.16357387556685848,104.0,37.0,"(113.0 , 175.0)",19.360790965974815
67,3606,338,4390,338,"(43 , 102)",1.1718356690618725,110.0,41.0,"(951.0 , 211.0)",25.05044154915867
68,5827,410,6961,400,"(32 , 104)",1.2722973952087173,108.0,92.0,"(1439.0 , 214.0)",34.094956326305876
69,741,120,808,120,"(28 , -23)",-0.6876712560387296,36.0,29.0,"(236.0 , 177.0)",17.39047978708151
